player_name,Position,Team Name,Buts (sans les pénaltys),npxG: xG sans les pénaltys,Total des tirs,Passes décisives,xAG: Prévu(s) Buts assistés,npxG + xAG,Actions menant à un tir,Passes tentées,% de passes réussies,Passes progressives,Possessions progressives,Dribbles réussis,Touches (SurfRépOff),Passes progressives reçues,Tacles,Interceptions,Balles contrées,Dégagements,Duel aérien gagnés,Age,Categorie_Clustering,Categorie_Large,Categorie_Age
Thomas Kristensen,CB,Udinese,0.0,0.05,0.47,0.05,0.02,0.07,0.7,38.56,75.9,1.91,0.74,0.47,1.02,0.14,1.53,1.12,1.3,5.02,2.79,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Arthur Atta,DM,Udinese,0.1,0.06,0.93,0.21,0.13,0.2,1.85,40.57,74.6,4.84,1.24,1.34,1.54,2.27,1.85,1.03,1.24,2.06,1.03,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Festy Ebosele,RB,Udinese,0.0,0.04,0.89,0.0,0.07,0.11,2.51,19.62,62.4,1.62,3.47,2.73,2.51,5.16,1.4,0.44,1.84,1.62,0.89,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Yunus Musah,CM,Milan,0.0,0.06,1.04,0.14,0.09,0.15,2.36,40.5,86.8,4.4,3.04,1.36,1.23,4.04,1.54,0.45,1.18,1.14,0.77,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Filippo Terracciano,RB,Milan,0.0,0.03,0.52,0.09,0.05,0.09,2.19,50.9,75.1,3.06,1.66,0.79,0.7,1.31,1.57,1.66,1.22,1.31,1.14,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Florian Wirtz,AM,Leverkusen,0.47,0.3,2.87,0.36,0.25,0.56,6.69,71.74,82.5,8.42,5.77,2.79,6.52,11.68,1.12,0.53,1.42,0.14,0.33,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Piero Hincapié,CB,Leverkusen,0.06,0.13,0.94,0.06,0.05,0.18,1.25,78.73,89.8,5.22,1.9,0.22,1.62,2.31,2.06,1.12,1.37,2.53,1.9,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Jeanuël Belocian,CB,Leverkusen,0.0,0.03,0.18,0.06,0.02,0.05,0.83,52.29,89.1,3.57,0.77,0.3,0.3,1.31,1.67,0.48,1.31,2.97,0.59,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Valentin Atangana Edoa,CM,Reims,0.0,0.04,1.26,0.0,0.02,0.06,1.43,36.99,89.1,3.86,1.26,0.67,1.01,1.76,2.52,1.26,0.75,1.51,0.84,19.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Oumar Diakité,CF,Reims,0.32,0.42,2.17,0.11,0.08,0.51,2.43,17.9,81.4,2.27,1.8,1.0,4.81,6.07,1.37,0.37,0.74,0.42,1.16,20.0,Attaquants,Attaquants,Jeune (< 23 ans)
Yaya Kader Fofana,CM,Reims,0.2,0.08,2.15,0.2,0.31,0.39,3.72,35.22,73.3,3.13,2.93,1.76,2.54,4.11,3.13,0.59,0.98,0.39,0.78,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Martin Adeline,CM,Reims,0.13,0.17,1.09,0.13,0.13,0.3,2.44,38.54,73.2,4.95,1.86,1.09,3.4,5.2,2.06,0.9,1.86,1.22,1.93,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Mohammed Daramy,LW,Reims,0.07,0.17,1.86,0.27,0.14,0.31,3.33,29.16,76.5,3.53,3.99,2.53,4.93,8.92,0.67,0.07,0.2,0.27,0.27,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Gabriel Moscardo,DM,Reims,0.14,0.04,1.12,0.14,0.13,0.17,0.7,37.43,82.0,2.66,1.12,1.68,0.56,1.4,2.8,1.68,1.68,2.8,1.96,19.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Tom Rothe,LB,Union Berlin,0.09,0.13,1.57,0.32,0.23,0.35,2.53,45.83,73.6,2.72,2.4,0.83,3.13,5.9,1.2,0.83,1.24,2.95,1.8,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Aljoscha Kemlein,DM,Union Berlin,0.0,0.19,0.91,0.18,0.11,0.3,2.46,36.29,79.4,3.83,1.19,0.09,2.19,3.65,2.37,0.82,0.27,0.36,0.46,20.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Paul Wanner,AM,Heidenheim,0.39,0.32,2.63,0.11,0.08,0.4,3.69,30.34,72.0,3.08,1.74,2.01,4.25,6.32,2.07,0.17,1.23,0.84,0.22,18.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Nico Williams,LW,Athletic Club,0.22,0.25,2.36,0.37,0.22,0.47,4.95,33.08,69.3,2.74,5.66,3.33,6.03,11.88,1.27,0.19,0.45,0.22,0.37,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Mikel Jauregizar,CM,Athletic Club,0.15,0.04,1.18,0.0,0.06,0.1,3.1,44.7,80.5,3.98,0.59,0.89,0.3,0.89,3.39,0.74,1.33,0.89,0.89,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Unai Gómez,AM,Athletic Club,0.08,0.11,1.56,0.08,0.06,0.17,2.34,26.59,75.1,2.34,1.72,1.33,2.34,4.52,0.86,0.23,1.01,0.86,1.48,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Nicolás Serrano,LW,Athletic Club,0.33,0.16,3.09,0.25,0.19,0.35,4.68,38.65,67.0,3.09,5.34,2.59,2.92,10.1,1.09,0.5,1.25,0.33,0.0,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lewis Hall,LB,Newcastle Utd,0.07,0.02,0.8,0.0,0.06,0.08,2.39,65.64,80.8,5.57,2.31,0.87,1.3,2.96,2.46,1.23,2.17,2.89,1.01,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Valentino Livramento,RB,Newcastle Utd,0.05,0.02,0.24,0.0,0.05,0.07,1.94,51.21,84.6,3.73,2.55,1.04,1.42,4.58,1.89,1.37,1.51,3.11,0.99,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
William Osula,CF,Newcastle Utd,0.0,0.22,2.89,0.0,0.02,0.22,1.76,10.59,54.5,0.32,0.96,0.64,3.53,5.45,0.32,0.32,0.16,1.28,3.05,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Destiny Udogie,LB,Tottenham,0.07,0.1,0.44,0.04,0.06,0.16,2.02,55.21,86.1,5.74,2.98,0.85,2.76,5.19,2.61,1.29,1.18,2.58,0.85,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Pape Matar Sarr,CM,Tottenham,0.18,0.13,1.4,0.14,0.11,0.24,2.08,58.33,86.5,5.84,1.72,0.72,1.76,4.34,1.67,1.45,0.95,1.04,1.13,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Wilson Odobert,RW,Tottenham,0.12,0.12,2.17,0.08,0.13,0.26,3.14,26.12,76.3,2.74,4.51,2.17,4.39,5.51,0.89,0.24,1.09,0.56,0.44,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Radu Drăgușin,CB,Tottenham,0.11,0.06,0.95,0.0,0.01,0.07,0.56,52.91,84.6,2.06,0.56,0.06,1.62,0.78,0.95,1.23,1.0,3.56,3.34,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Archie Gray,CM,Tottenham,0.0,0.01,0.25,0.06,0.03,0.04,1.51,51.39,83.4,4.44,1.98,1.13,0.82,2.86,2.58,0.69,0.91,1.01,0.54,18.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Alfie Devine,AM,Tottenham,0.0,0.11,1.62,0.15,0.08,0.19,2.78,32.45,74.3,4.64,2.32,0.85,1.55,3.63,1.39,0.93,0.77,0.93,0.39,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Andy Diouf,CM,Lens,0.12,0.1,1.63,0.0,0.1,0.2,3.55,47.92,78.1,4.52,4.03,2.05,1.69,2.95,1.75,0.36,1.14,0.6,0.78,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Abdukodir Khusanov,CB,Lens,0.0,0.01,0.33,0.0,0.01,0.02,0.6,44.97,86.1,1.86,0.13,0.0,0.33,0.13,2.12,2.06,1.79,4.58,1.59,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Jhoanner Chávez,LB,Lens,0.09,0.06,0.73,0.0,0.11,0.17,1.83,42.02,75.8,1.83,1.1,0.09,1.56,4.13,0.92,1.01,0.92,1.65,1.19,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Rémy Labeau Lascary,CF,Lens,0.16,0.24,2.0,0.22,0.12,0.36,2.97,21.12,75.2,1.08,2.97,2.76,4.16,7.94,2.27,0.65,1.13,0.43,0.86,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Mattia Viti,CB,Empoli,0.06,0.08,0.57,0.0,0.0,0.09,0.69,42.42,82.6,2.96,0.38,0.25,0.95,0.95,3.09,1.01,1.7,3.91,1.64,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Lorenzo Colombo,CF,Empoli,0.25,0.24,2.25,0.06,0.04,0.29,1.56,16.86,66.3,1.31,1.25,1.06,3.68,5.37,1.0,0.0,1.25,0.69,1.5,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Sebastiano Esposito,SS,Empoli,0.4,0.2,2.58,0.0,0.04,0.24,2.19,27.62,61.9,2.78,2.19,1.79,3.58,2.38,2.78,0.99,0.79,0.4,0.99,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Saba Goglichidze,CB,Empoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,77.9,2.2,0.4,0.0,0.0,0.0,2.6,1.2,0.8,3.4,1.2,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Jacopo Fazzini,CM,Empoli,0.07,0.08,1.5,0.07,0.09,0.16,3.44,29.38,66.1,2.79,2.08,1.65,2.65,4.16,3.51,0.64,1.43,1.72,1.07,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Nicolò Rovella,DM,Lazio,0.0,0.03,0.4,0.15,0.03,0.06,1.59,66.57,87.6,4.66,1.34,0.54,0.15,0.69,3.62,1.44,1.34,1.68,0.59,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Loum Tchaouna,RW,Lazio,0.16,0.14,1.98,0.12,0.07,0.21,2.49,32.12,67.0,2.49,3.08,0.71,2.92,6.24,1.03,0.2,0.91,0.67,1.11,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Karim Adeyemi,LW,Dortmund,0.52,0.29,2.53,0.26,0.26,0.55,3.36,28.45,74.6,1.96,4.65,2.17,5.58,8.42,1.45,0.67,1.19,0.52,0.88,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Jamie Gittens,LW,Dortmund,0.35,0.17,3.12,0.29,0.19,0.36,3.41,27.84,77.2,2.2,5.37,3.35,5.03,7.97,1.39,0.35,0.87,0.35,0.29,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Yan Couto,RB,Dortmund,0.0,0.05,1.01,0.3,0.16,0.22,2.37,58.54,78.8,4.35,5.79,1.86,3.04,9.71,1.56,0.46,0.8,1.1,0.13,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Maximilian Beier,CF,Dortmund,0.46,0.39,2.91,0.04,0.1,0.49,2.64,20.72,70.4,1.15,2.14,1.15,5.32,8.04,0.88,0.34,0.84,0.38,0.88,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Gio Reyna,AM,Dortmund,0.0,0.18,2.14,0.16,0.2,0.39,6.25,58.57,84.8,5.92,2.14,1.48,4.61,5.76,2.96,0.66,1.48,0.99,2.14,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Aimar Oroz,AM,Osasuna,0.08,0.12,1.21,0.0,0.06,0.19,2.8,37.41,81.6,4.16,1.66,0.91,1.93,4.42,1.85,0.72,1.02,0.42,0.6,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Iker Muñoz,DM,Osasuna,0.18,0.05,1.16,0.0,0.01,0.06,0.97,49.14,75.2,3.96,0.97,0.3,1.1,1.22,1.4,0.49,0.85,2.31,2.5,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Iker Benito,RW,Osasuna,0.1,0.13,1.39,0.0,0.1,0.24,3.41,34.22,80.1,1.63,3.94,1.49,4.46,11.14,1.54,0.77,1.25,1.3,1.3,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Enzo Millot,AM,Stuttgart,0.22,0.29,1.97,0.22,0.21,0.5,3.72,58.78,85.7,5.47,1.86,1.82,3.17,6.49,1.31,0.58,1.09,0.26,0.26,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Fabian Rieder,AM,Stuttgart,0.54,0.09,2.03,0.41,0.3,0.39,5.83,50.02,73.7,7.18,2.98,0.95,1.9,6.37,3.66,1.22,1.08,0.54,0.54,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Nick Woltemade,SS,Stuttgart,0.17,0.17,1.83,0.0,0.13,0.3,3.92,32.38,75.0,3.31,1.65,2.18,4.96,6.27,2.44,0.44,1.04,1.04,2.26,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Jay Stansfield,CF,Fulham,0.3,0.25,2.45,0.07,0.1,0.35,2.25,13.78,60.2,1.49,2.48,0.73,4.56,5.22,0.96,0.07,1.02,0.26,0.26,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Gvidas Gineitis,CM,Torino,0.0,0.07,1.7,0.14,0.16,0.23,2.83,44.22,78.3,3.81,1.27,0.28,0.71,2.4,2.12,0.71,1.41,2.12,0.99,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Matìas Soulé,RW,Roma,0.14,0.14,2.22,0.06,0.15,0.29,5.27,46.05,79.0,5.75,3.93,2.66,3.11,6.82,0.84,0.45,1.18,0.34,0.36,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Nicola Zalewski,LM,Roma,0.0,0.08,1.1,0.13,0.21,0.29,3.38,42.63,74.8,2.53,5.0,1.17,2.86,7.08,1.62,0.84,0.71,1.69,0.65,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Tommaso Baldanzi,AM,Roma,0.16,0.18,2.52,0.08,0.1,0.27,4.39,35.24,82.0,3.09,3.5,1.14,3.74,7.41,1.55,0.24,0.57,0.65,0.24,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Edoardo Bove,CM,Fiorentina,0.04,0.07,0.8,0.04,0.03,0.1,2.0,37.95,83.4,4.04,0.95,0.36,1.71,2.15,2.84,0.66,1.06,0.69,1.57,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Matthis Abline,CF,Nantes,0.31,0.3,3.52,0.0,0.11,0.41,2.65,18.95,69.4,2.16,2.53,1.3,5.43,7.16,0.56,0.19,0.19,1.05,1.36,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Nathan Zeze,CB,Nantes,0.0,0.02,0.26,0.0,0.0,0.02,0.2,45.46,84.8,3.0,0.13,0.07,0.26,0.13,1.24,1.37,1.3,5.6,1.5,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Johann Lepenant,DM,Nantes,0.38,0.06,0.95,0.19,0.13,0.19,1.89,31.83,83.3,4.74,1.71,1.14,1.52,3.22,2.08,1.33,0.95,0.57,1.14,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Guela Doué,RB,Strasbourg,0.0,0.04,0.83,0.09,0.08,0.11,2.5,51.7,77.6,3.76,2.19,1.14,1.36,4.25,2.06,1.23,1.05,4.55,1.44,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Dilane Bakwa,RW,Strasbourg,0.11,0.14,1.86,0.29,0.29,0.42,4.51,36.44,68.3,3.75,3.9,1.9,3.04,7.72,1.32,0.79,1.07,0.64,0.46,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Saidou Sow,CB,Strasbourg,0.0,0.04,0.41,0.14,0.04,0.08,0.68,45.61,86.7,1.82,0.07,0.27,0.88,0.14,1.82,1.76,1.08,4.19,1.55,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Emanuel Emegha,CF,Strasbourg,0.4,0.5,2.28,0.08,0.06,0.56,1.4,12.58,72.6,0.36,1.32,0.48,3.89,4.65,0.48,0.08,0.68,1.2,1.48,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Ismaël Doukouré,DM,Strasbourg,0.0,0.02,0.4,0.06,0.05,0.06,1.33,42.66,85.5,3.99,0.98,0.98,0.12,0.58,1.56,0.92,0.92,2.25,0.75,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Habib Diarra,AM,Strasbourg,0.08,0.1,1.51,0.0,0.05,0.15,2.03,35.1,84.1,4.1,2.37,1.17,1.02,3.35,1.13,0.56,0.79,0.87,0.68,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Andrey Santos,CM,Strasbourg,0.26,0.2,1.52,0.0,0.11,0.3,2.38,51.38,86.0,4.96,0.86,0.93,0.99,1.52,3.44,0.79,1.12,1.32,1.26,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Diego Moreira,LW,Strasbourg,0.13,0.13,1.07,0.13,0.16,0.3,2.28,39.7,69.9,3.35,3.22,1.07,2.68,6.3,1.21,1.07,0.8,2.01,1.34,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Abakar Sylla,CB,Strasbourg,0.15,0.1,0.69,0.0,0.0,0.1,0.64,65.19,88.9,2.97,0.35,0.2,0.99,0.15,1.98,1.19,2.08,3.71,1.68,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Caleb Wiley,LB,Strasbourg,0.04,0.01,0.39,0.04,0.17,0.19,2.22,52.61,81.7,4.01,2.57,0.61,1.27,4.19,1.44,1.27,1.4,2.7,1.0,19.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Mamadou Sarr,CB,Strasbourg,0.0,0.03,0.83,0.0,0.07,0.1,0.83,40.83,77.1,3.17,0.5,1.0,1.0,0.67,2.83,0.83,1.17,3.17,1.83,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Junior Mwanga,DM,Strasbourg,0.06,0.08,1.13,0.06,0.05,0.13,1.97,33.18,80.6,3.4,1.67,1.67,1.55,2.32,2.62,1.07,1.07,1.07,0.77,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Félix Lemaréchal,AM,Strasbourg,0.0,0.12,1.64,0.18,0.21,0.33,5.16,44.38,66.2,4.98,2.05,2.11,1.99,4.1,2.87,0.76,1.93,1.06,1.82,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Jack Hinshelwood,RB,Brighton,0.23,0.13,1.1,0.0,0.05,0.19,1.68,52.53,82.1,2.61,1.45,0.06,2.26,4.05,1.45,0.87,0.41,1.74,0.58,19.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Carlos Baleba,DM,Brighton,0.05,0.08,1.66,0.05,0.03,0.11,1.56,51.5,91.0,3.83,1.31,1.06,0.5,0.66,2.67,1.46,2.17,1.76,1.61,20.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Yankuba Minteh,RW,Brighton,0.29,0.25,2.04,0.15,0.25,0.5,3.06,27.09,63.4,2.48,3.93,2.62,7.43,13.25,1.89,0.73,1.46,1.02,1.17,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Georginio Rutter,CF,Brighton,0.12,0.29,3.15,0.41,0.25,0.54,4.64,25.79,67.3,4.93,3.3,3.24,6.01,6.59,1.72,0.47,0.82,0.79,1.05,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Yasin Ayari,CM,Brighton,0.0,0.09,2.05,0.15,0.13,0.22,3.95,48.29,75.8,6.59,1.32,1.32,2.05,4.39,2.78,1.17,0.88,0.44,0.88,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Simon Adingra,RW,Brighton,0.24,0.19,2.36,0.1,0.15,0.34,3.31,33.81,74.4,2.29,4.51,1.84,6.42,11.92,1.67,0.58,1.43,0.89,0.38,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Julio Enciso,AM,Brighton,0.0,0.22,4.48,0.0,0.17,0.39,4.17,36.28,72.3,4.17,4.94,2.62,3.09,5.4,1.08,0.0,1.85,0.62,0.31,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Evan Ferguson,CF,Brighton,0.14,0.18,1.68,0.0,0.03,0.21,1.12,18.63,76.3,0.7,0.7,0.28,2.8,4.34,1.26,0.28,0.56,0.56,0.91,20.0,Attaquants,Attaquants,Jeune (< 23 ans)
Jeremy Sarmiento,LW,Brighton,0.35,0.31,2.84,0.07,0.13,0.44,2.84,26.07,73.9,2.22,2.84,1.8,4.37,6.45,2.5,0.62,1.46,0.76,1.25,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Brajan Gruda,RW,Brighton,0.2,0.21,1.58,0.2,0.24,0.45,5.55,35.79,64.9,3.7,5.55,3.9,5.68,8.98,1.32,0.33,0.79,0.26,0.59,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Valentín Barco,LB,Sevilla,0.0,0.08,1.78,0.0,0.08,0.16,2.75,63.18,75.4,3.72,1.62,1.13,1.29,4.85,4.04,0.97,0.48,1.29,0.16,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Murillo,CB,Nott'ham Forest,0.0,0.05,0.49,0.05,0.04,0.09,1.03,45.5,76.9,2.81,0.78,0.7,0.87,0.19,1.51,1.05,1.38,5.87,1.16,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Elliot Anderson,CM,Nott'ham Forest,0.0,0.1,1.58,0.16,0.1,0.19,2.37,40.29,78.4,3.96,2.85,1.66,4.04,5.22,2.45,0.87,2.45,2.53,1.58,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Anthony Elanga,RW,Nott'ham Forest,0.14,0.23,1.86,0.32,0.23,0.46,2.46,25.49,69.6,1.71,3.28,0.82,4.39,6.71,1.18,0.36,0.75,0.79,0.71,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Andrew Omobamidele,CB,Nott'ham Forest,0.0,0.01,0.11,0.0,0.01,0.02,0.69,35.63,87.4,0.92,0.11,0.0,0.57,0.0,1.15,1.49,1.38,4.83,0.8,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Abde Ezzalzouli,LW,Betis,0.11,0.3,2.92,0.0,0.07,0.36,2.64,38.29,68.0,2.98,5.78,2.64,7.3,9.94,1.74,0.51,0.84,0.51,1.74,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Hugo Álvarez,LW,Celta Vigo,0.13,0.09,1.13,0.13,0.12,0.21,3.01,56.42,82.4,3.58,4.33,1.88,3.95,9.67,1.76,0.56,0.75,1.38,0.44,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Javi Rodríguez,CB,Celta Vigo,0.34,0.48,2.74,0.14,0.1,0.58,2.33,23.37,76.2,1.58,0.62,0.75,4.94,5.14,0.62,0.27,0.55,0.41,0.89,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
